"","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","X1stFlrSF","X2ndFlrSF","GarageArea","WoodDeckSF","ScreenPorch","SalePrice","homeage","MSZoningisFV","MSZoningisRL","MSZoningisRM","NeighborhoodisNoRidge","NeighborhoodisNridgHt","NeighborhoodisStoneBr","Condition1isNorm","YearRemodAddis2008","YearRemodAddis2009","RoofMatlisCompShg","RoofMatlisRoll","RoofMatlisTar&Grv","BsmtQualisFa","BsmtQualisGd","BsmtQualisTA","BsmtExposureisGd","BedroomAbvGris5","FunctionalisTyp","Fireplacesis2","GarageTypeisAttchd","GarageTypeisDetchd","GarageYrBltis1934","GarageFinishisRFn","GarageFinishisUnf","GarageCarsis3","MoSoldis5"
"366",456,0,216,672,672,468,0,0,97508.5568733583,90,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"370",72,258,733,1287,0,576,364,182,112816.512994791,51,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"375",0,0,847,847,1081,434,100,0,121270.048231778,7,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"376",350,0,333,904,0,0,0,0,41630.552730896,88,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"378",0,0,1580,1580,886,610,159,0,196136.118466216,6,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"381",218,0,808,1026,665,308,0,0,86378.6923490243,86,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"384",0,0,784,784,0,360,0,0,51147.1085058987,82,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"386",24,0,1232,1269,0,430,146,144,132054.059630661,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"387",0,0,658,658,526,0,0,0,43930.7737782093,100,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"389",0,0,1468,1479,0,577,120,0,115250.473673413,11,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"391",241,391,229,961,406,384,0,0,71116.5295133597,110,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"392",690,0,114,804,1157,560,125,0,143515.119150924,9,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"394",266,0,522,788,0,0,0,0,54451.6986207385,69,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"395",0,0,735,735,299,240,0,0,60220.6617642996,70,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"399",0,0,961,1077,0,338,0,0,38247.6851587564,90,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"400",812,0,280,1112,438,438,0,0,162190.173025284,4,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"403",0,0,672,672,0,240,168,0,65737.0154177648,70,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"405",0,0,806,806,766,373,0,0,92362.5008246652,15,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"406",1116,0,165,1620,0,490,120,0,100126.827314598,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"407",0,0,1064,1166,0,240,0,0,68487.8478736012,74,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"408",0,0,840,840,840,308,0,0,105411.731075021,95,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"414",0,0,1008,1028,0,360,0,0,80085.7962617343,83,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"418",1128,0,242,1370,1254,864,0,0,136435.772431982,92,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
"419",312,0,444,756,378,240,0,0,69178.3153433111,70,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"421",1309,0,35,1344,0,784,0,0,132176.65413028,13,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
"422",1246,0,356,1602,0,529,240,0,143515.119150924,33,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"426",0,0,651,707,682,240,0,0,90221.9459871283,64,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
"432",0,0,901,1088,110,0,0,0,49344.1367555149,90,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"434",0,0,926,926,678,470,0,0,109216.417460145,13,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"437",0,0,648,734,384,440,0,0,63022.5849039177,90,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"438",0,0,884,904,0,180,0,0,79666.3386288017,84,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"439",365,0,75,694,0,352,0,0,49588.3644346872,97,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"440",0,0,684,684,512,528,0,0,73006.2652649464,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"443",0,0,1078,1128,445,360,0,0,97809.6404640104,80,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"445",642,0,273,933,975,493,144,0,126715.180478621,16,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"447",247,713,557,1888,0,578,0,0,128647.843455887,44,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"448",0,0,930,956,930,431,89,0,108279.392248734,12,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"449",0,0,780,780,596,198,0,0,64751.7488390743,73,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"450",331,0,318,679,504,308,0,0,66098.2219578293,62,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"451",0,0,813,813,0,270,0,0,59604.1202702776,80,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"453",742,0,130,888,868,422,144,0,112706.559632267,14,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"457",0,0,624,624,720,513,0,0,58672.4461021739,94,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
"458",1116,0,248,1663,0,529,224,0,152459.904831669,56,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
"459",0,0,588,833,833,228,192,0,96668.8282056824,85,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"462",350,210,0,575,560,576,256,0,105473.029525644,74,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"464",326,0,389,849,811,240,0,0,114857.174160484,76,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"468",386,0,342,888,756,312,168,0,80694.9126401833,68,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
"477",994,0,484,1493,0,508,140,0,124842.378280175,13,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
"479",1288,0,417,1718,0,826,208,0,198488.281171682,3,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
"480",168,0,739,1131,0,672,0,0,49105.9275521405,73,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"481",1261,0,572,1850,0,772,519,0,178383.820696901,6,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"482",1567,0,225,1792,0,874,206,0,202805.659037053,7,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"483",299,0,611,916,910,164,0,0,103464.388225085,95,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"485",588,0,411,999,0,264,0,0,72722.2832052689,48,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"486",607,0,506,1113,0,264,0,0,97508.5568733583,60,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"489",664,0,290,1766,648,520,142,0,86776.837092759,110,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"490",515,0,115,630,0,286,0,0,58035.5636535412,40,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
"492",403,165,238,958,620,240,0,0,72120.7290158503,69,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
"495",0,0,190,886,0,273,144,0,62244.7657810593,72,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"496",495,0,225,720,0,0,0,0,23589.2097952673,90,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"497",1231,0,1969,3228,0,546,264,0,236404.019967893,18,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
"498",329,0,697,1133,687,240,0,0,110478.660806494,85,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"499",450,0,414,899,0,288,64,0,86776.583672652,43,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"500",111,279,522,912,0,297,12,0,66098.2219578293,52,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"504",1247,0,254,1801,0,484,0,161,201259.08799688,51,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"507",380,0,397,1065,846,471,182,0,116717.153621489,17,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"509",141,0,548,689,689,360,0,0,101149.078663827,82,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"511",650,180,178,1363,0,288,324,168,110072.758827849,59,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"515",0,0,768,789,0,200,0,0,53153.9868244211,84,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"518",0,0,1264,1277,1067,889,220,0,175780.731778503,14,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"520",0,0,1276,1276,804,282,0,145,156197.850610774,84,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
"521",0,0,0,694,600,0,220,0,64671.8322975696,110,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"523",399,0,605,1004,660,420,0,0,86384.4051700251,63,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
"525",719,0,660,1383,1015,834,239,0,175180.173432533,14,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"527",377,0,551,928,0,252,261,0,72708.0441536123,54,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"529",348,0,180,605,0,0,0,0,47513.549648897,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"530",1219,0,816,2515,0,484,0,0,110111.964873765,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
"531",783,0,678,1509,0,600,224,0,106518.312019526,22,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"532",0,0,611,751,611,502,0,0,76854.7205610395,90,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"533",0,0,0,827,0,392,0,0,73936.5177619588,55,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"534",0,0,0,334,0,0,0,0,21507.8479017535,64,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"536",969,0,148,820,527,0,85,0,62833.1618816048,100,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"537",0,0,880,880,844,527,120,0,113440.256809432,12,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"540",1358,0,223,1601,0,670,180,0,185000.034007359,9,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
"543",144,1127,379,1680,0,583,78,0,142346.972832254,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"547",300,0,765,915,720,440,0,0,115453.126030831,87,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
"549",180,645,0,825,0,720,140,0,75053.4380478901,55,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
"550",0,0,912,912,1182,615,182,0,177763.959202158,7,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"554",0,0,0,1126,0,520,0,0,72881.8706346796,61,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"555",866,0,132,1006,1040,871,320,0,172864.003505974,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
"556",0,0,993,1048,0,280,0,0,61275.5066074518,88,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"558",637,0,0,897,439,570,0,0,58630.0120517247,90,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"559",604,0,125,729,717,406,264,0,106518.312019526,14,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
"560",0,0,1374,1557,0,420,143,0,127131.766099282,7,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
"561",1302,0,90,1392,0,528,0,95,82637.8828378461,53,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
"562",1071,123,195,1389,0,418,240,0,92567.8876552554,36,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"563",290,0,706,996,0,0,144,0,65167.807103291,70,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"564",0,0,1163,1163,511,396,72,144,111630.039945452,92,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"565",728,0,367,1166,1129,590,0,0,145166.969097852,18,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"566",0,0,806,841,806,216,0,0,87058.8395328749,95,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
"567",0,0,1122,1134,1370,656,144,0,195138.938924514,5,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"569",1441,0,55,1496,636,612,349,0,211587.171107591,27,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"575",349,0,23,576,533,288,35,0,80185.0601964822,39,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"576",442,0,390,832,384,336,158,0,74448.2349171646,63,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"577",0,0,861,877,600,216,0,0,96235.5314856111,82,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"581",594,219,331,1429,0,572,216,0,100193.888117743,50,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
"584",0,0,1237,1521,1254,880,105,0,196106.8269312,117,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"585",0,0,884,989,584,240,0,120,88222.0276473242,75,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"587",210,606,0,838,0,275,0,0,77830.7958498225,92,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"590",0,0,742,779,0,308,0,0,48389.7474602991,80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"593",816,0,0,816,0,816,0,0,82858.9956048707,28,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"597",0,0,684,684,684,216,0,0,62209.8108779155,100,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"602",0,0,780,780,595,544,0,126,81338.8020698129,73,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"604",0,0,600,600,600,480,0,0,102241.180851784,6,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"606",454,0,314,1186,800,486,0,189,137962.595311964,45,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"608",603,0,293,1112,896,230,103,0,122008.752094484,62,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"609",428,0,537,1940,1254,380,0,0,200467.814057868,76,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
"617",457,0,326,807,702,393,100,0,99267.9530319532,8,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"621",41,0,823,864,0,0,0,0,41377.4363281539,96,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"622",956,182,384,1548,1066,624,38,0,144102.601051949,36,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"627",0,0,978,1422,0,286,0,0,77617.4386800042,50,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"628",674,132,350,1520,0,364,0,0,106548.928939525,55,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
"631",0,0,636,1089,661,240,0,0,67190.0992137675,130,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"634",480,468,108,1056,0,260,390,0,77016.1490820493,56,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"636",256,0,1184,1440,1440,0,0,0,109769.484083425,96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"637",0,0,264,800,0,0,0,0,40167.9018296479,74,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"639",0,0,796,796,0,0,328,0,50889.3665171916,100,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"641",1218,0,300,1518,0,588,185,0,163747.303249248,7,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
"643",1410,0,542,2000,704,538,269,0,228846.613070127,38,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
"652",0,0,755,755,755,296,120,0,72682.7331399614,70,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"654",0,0,756,756,713,216,57,0,81057.7130917213,104,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"657",806,0,247,1053,0,312,0,0,88562.3679933776,51,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"658",0,0,776,851,651,270,0,0,88060.9452662809,79,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"659",0,0,912,912,546,330,192,0,67239.9881381765,62,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"660",637,0,849,1486,0,480,0,0,113972.168951797,46,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"662",1361,180,88,1686,762,711,517,0,266656.053490408,16,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"667",187,723,111,1465,915,596,0,0,71570.0471030775,45,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"668",1138,0,270,1679,0,575,224,0,121567.370940686,16,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"669",988,0,200,1437,0,576,304,0,91484.8314882077,54,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"670",0,0,700,1180,0,252,0,0,74479.3218319205,88,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"672",551,0,121,697,672,300,147,0,68720.3162726525,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"674",1186,0,291,1839,0,416,0,200,141835.767951175,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"677",0,0,1095,1095,679,779,0,0,47184.9051691877,110,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"678",0,0,768,792,0,240,316,0,73894.1188379391,86,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"682",182,0,611,848,672,281,0,0,105756.321473109,78,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"683",1003,0,288,1291,0,431,307,0,110841.30472389,14,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"690",20,0,1342,1362,0,460,192,0,107244.365126578,5,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"692",1455,0,989,2444,1872,832,382,0,413191.480046409,16,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0
"693",965,0,245,1238,1281,628,320,0,182413.190379474,21,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0
"694",0,0,1073,1073,0,326,0,0,59202.6632466505,89,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"695",0,0,927,1067,472,576,112,0,96286.6688895391,74,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"697",616,0,0,616,0,205,0,0,48225.1518550428,89,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"699",553,117,224,894,0,336,416,0,95257.746139826,45,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"704",0,0,360,1032,780,672,344,0,95220.6057390819,110,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
"705",712,0,761,1484,0,606,0,0,144871.350160175,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
"706",0,0,0,372,720,0,0,0,37276.7630214511,80,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"707",1219,0,424,1824,0,739,380,0,166347.191927204,39,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0
"711",0,0,270,729,0,0,0,0,31377.092308992,75,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"712",0,0,859,859,319,384,68,0,70878.5335475818,110,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
