year,songwriters,title,artists,link,win
2004,"Jeff Bass,Eminem,Luis Resto",Lose Yourself,Eminem,https://en.wikipedia.org/wiki/Lose_Yourself,"1	"
2004,"Calvin Broadus,Chad Hugo,Pharrell Williams",Beautiful,"Snoop Dogg,Pharrell",https://en.wikipedia.org/wiki/Beautiful_(Snoop_Dogg_song),0
2004,"Shawn Carter,Chad Hugo,Pharrell Williams",Excuse Me Miss,"Jay-Z,Pharrell",https://en.wikipedia.org/wiki/Excuse_Me_Miss,0
2004,"Mike Elizondo,Curtis Jackson,Andre Young",In da Club,50 Cent,https://en.wikipedia.org/wiki/In_da_Club,0
2004,"Missy Elliott,Tim Mosley",Work It,Missy Elliott,https://en.wikipedia.org/wiki/Work_It_(Missy_Elliott_song),0
2005,"Miri Ben-Ari,Che Smith,Kanye West",Jesus Walks,Kanye West,https://en.wikipedia.org/wiki/Jesus_Walks,"1	"
2005,"Calvin Broadus,Chad Hugo,Scott Thomas,Pharrell Williams",Drop It Like It's Hot,"Snoop Dogg,Pharrell",https://en.wikipedia.org/wiki/Drop_It_Like_It%27s_Hot,0
2005,"Will Adams,Anthony Henry",Hey Mama,The Black Eyed Peas,https://en.wikipedia.org/wiki/Hey_Mama_(The_Black_Eyed_Peas_song),0
2005,"Will Adams,Mike Fratantuno,Jaime Gomez,George Pajon Jr.,Allan Pineda,Terence Yoshiaki",Let's Get It Started,The Black Eyed Peas,https://en.wikipedia.org/wiki/Let%27s_Get_It_Started,0
2005,Shawn Carter,99 Problems,"Jay-Z,Rick Rubin",https://en.wikipedia.org/wiki/99_Problems,0
2006,"Devon Harris,Kanye West",Diamonds from Sierra Leone,Kanye West,https://en.wikipedia.org/wiki/Diamonds_from_Sierra_Leone,"1	"
2006,"Curtis Jackson,Scott Storch",Candy Shop,"50 Cent,Olivia",https://en.wikipedia.org/wiki/Candy_Shop,0
2006,"William Adams,Printz Board,Stacy Ferguson,George Pajon Jr.",Don't Phunk With My Heart,The Black Eyed Peas,https://en.wikipedia.org/wiki/Don%27t_Phunk_With_My_Heart,0
2006,"Jayceon Taylor,Curtis Jackson",Hate It Or Love It,"The Game,50 Cent",https://en.wikipedia.org/wiki/Hate_It_Or_Love_It,0
2006,"Missy Elliott,Ciara Harris,Isaac Freeman",Lose Control,"Missy Elliott,Ciara,Fatman Scoop",https://en.wikipedia.org/wiki/Lose_Control_(Missy_Elliott_song),0
2007,"Christopher Bridges,Pharrell Williams",Money Maker,"Ludacris,Pharrell",https://en.wikipedia.org/wiki/Money_Maker,"1	"
2007,"Chadron Moore,Jasiel Robinson",It's Goin' Down,Yung Joc,https://en.wikipedia.org/wiki/It%27s_Goin%27_Down_(Yung_Joc_song),0
2007,Wasalu Muhammad Jaco,"Kick, Push",Lupe Fiasco,"https://en.wikipedia.org/wiki/Kick,_Push",0
2007,"Jakeem Seriki,Juan Salinas,Oscar Salinas,Anthony Henderson",Ridin',Chamillionaire,https://en.wikipedia.org/wiki/Ridin%27,0
2007,"Adrian Davis,Clifford Harris",What You Know,T.I.,https://en.wikipedia.org/wiki/What_You_Know,0
2008,"Aldrin Davis,Faheem Najm,Kanye West",Good Life,"Kanye West,T-Pain",https://en.wikipedia.org/wiki/Good_Life_(Kanye_West_song),"1	"
2008,"Curtis Jackson,Nathaniel Hills,Timothy Mosley,Justin Timberlake",Ayo Technology,"50 Cent,Justin Timberlake",https://en.wikipedia.org/wiki/Ayo_Technology,0
2008,"Clifford Harris,Byron Thomas",Big Things Poppin' (Do It),T.I.,https://en.wikipedia.org/wiki/Big_Shit_Poppin%27_(Do_It),0
2008,"Aldrin Davis,Kanye West",Can't Tell Me Nothing,Kanye West,https://en.wikipedia.org/wiki/Can%27t_Tell_Me_Nothing,0
2008,Soulja Boy,Crank That,Soulja Boy,https://en.wikipedia.org/wiki/Crank_That_(Soulja_Boy),0
2009,"Dwayne Carter,Stephen Garrett,Darius Harrison,Jim Jonsin,Rex Zamor",Lollipop,"Lil Wayne,Static Major",https://en.wikipedia.org/wiki/Lollipop,"1	"
2009,"Tramar Dillard,Faheem Najm",Low,"Flo Rida,T-Pain",https://en.wikipedia.org/wiki/Low_(Flo_Rida_song),0
2009,"Calvin Broadus,S. Lovejoy,Demtrius Stewart",Sexual Eruption,Snoop Dogg,https://en.wikipedia.org/wiki/Sexual_Eruption,0
2009,Wasalu Muhammad Jaco,Superstar,"Lupe Fiasco,Soundtrak",https://en.wikipedia.org/wiki/Superstar_(Lupe_Fiasco_song),0
2009,"Mathangi Arulpragasam,Dwayne Carter,Shawn Carter,Clifford Harris,Topper Headon,Mick Jones,Wesley Pentz,Paul Simonon,Joe Strummer,Kanye West",Swagga Like Us,"T.I.,Jay-Z,Lil Wayne,Kanye West,M.I.A.",https://en.wikipedia.org/wiki/Swagga_Like_Us,0
2010,"Shawn Carter,Robyn Fenty,M. Riddick,Kanye West,Ernest Wilson",Run This Town,"Jay-Z,Rihanna,Kanye West",https://en.wikipedia.org/wiki/Run_This_Town,"1	"
2010,"Dwayne Carter,Aubrey Graham,Matthew Samuels",Best I Ever Had,Drake,https://en.wikipedia.org/wiki/Best_I_Ever_Had,0
2010,"Scott Mescudi,Oladipo Omishore",Day 'n' Nite,Kid Cudi,https://en.wikipedia.org/wiki/Day_%27n%27_Nite,0
2010,"Clifford Harris,Justin Timberlake",Dead and Gone,"T.I.,Justin Timberlake",https://en.wikipedia.org/wiki/Dead_and_Gone,0
2010,"Shawn Carter,Ernest Wilson",D.O.A. (Death of Auto-Tune),Jay-Z,https://en.wikipedia.org/wiki/D.O.A._(Death_of_Auto-Tune),0
2011,"Shawn Carter,Angela Hunter,Alicia Keys,Jane't Sewell-Ulepic,Alexander Shuckburgh",Empire State of Mind,"Jay-Z,Alicia Keys",https://en.wikipedia.org/wiki/Empire_State_of_Mind,"1	"
2011,"Alexander Grant,Skylar Grey,Marshall Mathers",Love the Way You Lie,"Eminem,Rihanna",https://en.wikipedia.org/wiki/Love_the_Way_You_Lie,0
2011,"Matthew Burnett,Jordan Evans,Marshall Mathers,Luis Resto,Matthew Samuels",Not Afraid,Eminem,https://en.wikipedia.org/wiki/Not_Afraid,0
2011,"Philip Lawrence,Ari Levine,Bruno Mars,Bobby Simmons Jr.",Nothin' On You,"B.o.B,Bruno Mars",https://en.wikipedia.org/wiki/Nothin%27_On_You,0
2011,"Shawn Carter,J. Chaton,Kasseem Dean",On to the Next One,"Jay-Z,Swizz Beatz",https://en.wikipedia.org/wiki/On_to_the_Next_One,0
2012,"Jeff Bhasker,Malik Jones,Warren Trotter,Kanye West",All of the Lights,"Kanye West,Rihanna,Kid Cudi,Fergie",https://en.wikipedia.org/wiki/All_of_the_Lights,"1	"
2012,"Mikkel S. Eriksen, Tor Erik Hermansen,Cameron Thomaz",Black and Yellow,Wiz Khalifa,https://en.wikipedia.org/wiki/Black_and_Yellow,0
2012,"Andre Young,Alexander Grant,Skylar Grey,Marshall Mathers",I Need a Doctor,"Dr. Dre,Eminem,Skylar Grey",https://en.wikipedia.org/wiki/I_Need_a_Doctor,0
2012,"Chris Brown,Wesley Pentz,Jean Baptiste,Ryan Buendia,Dwayne Carter,Trevor Smith,Nick van de Wall,",Look at Me Now,"Chris Brown,Busta Rhymes,Lil Wayne",https://en.wikipedia.org/wiki/Look_at_Me_Now,0
2012,"Shawn Carter,Kanye West",Otis,"Jay-Z,Kanye West",https://en.wikipedia.org/wiki/Otis_(song),0
2012,"Dustin William Brower,Jonathon Keith Brown,Daniel Johnson,Kane,Wasalu Muhammad Jaco",The Show Goes On,Lupe Fiasco,https://en.wikipedia.org/wiki/The_Show_Goes_On,0
2013,"Shawn Carter,Mike Dean,Chauncey Hollis,Kanye West",Niggas in Paris,"Jay-Z,Kanye West",https://en.wikipedia.org/wiki/Niggas_in_Paris,"1	"
2013,"Nasir Jones,Ernest Wilson",Daughters,Nas,https://en.wikipedia.org/wiki/Daughters_(Nas_song),0
2013,"Olubowale Akintimehin,S. Joseph Dew,Jerrin Howard,Walker Johnson,Miguel Jontel Pimentel",Lotus Flower Bomb,"Wale,Miguel",https://en.wikipedia.org/wiki/Lotus_Flower_Bomb,0
2013,"Sean Anderson,Tauheed Epps,Stephan Taft,James Thomas,Terrence Thornton,Kanye West",Mercy,"Kanye West,Big Sean,Pusha T,2 Chainz",https://en.wikipedia.org/wiki/Mercy_(GOOD_Music_song),0
2013,"Dwayne Carter,Aubrey Graham,Michael Stevenson",The Motto,"Drake,Lil Wayne,Tyga",https://en.wikipedia.org/wiki/The_Motto,0
2013,"Calvin Broadus,Chris Brody Brown,Philip Lawrence,Ari Levine,Peter Hernandez,Cameron Thomaz","Young, Wild & Free","Snoop Dogg,Wiz Khalifa,Bruno Mars","https://en.wikipedia.org/wiki/Young,_Wild_%26_Free",0
2014,"Ben Haggerty,Ryan Lewis",Thrift Shop,"Macklemore,Ryan Lewis,Wanz",https://en.wikipedia.org/wiki/Thrift_Shop,"1	"
2014,"Tauheed Epps,Aubrey Graham,Kendrick Lamar,Rakim Mayers,Noah Shebib",Fuckin' Problems,"ASAP Rocky,Drake,2 Chainz,Kendrick Lamar",https://en.wikipedia.org/wiki/Fuckin%27_Problems,0
2014,"Shawn Carter,Terius Nash,Jerome Harmon,Timothy Mosley,Justin Timberlake,Ernest Wilson",Holy Grail,"Jay-Z,Justin Timberlake",https://en.wikipedia.org/wiki/Holy_Grail_(Jay-Z_song),0
2014,"Christopher Breaux,Benjamin Bronfman,Mike Dean,Louis Johnson,Malik Jones,Elon Rutberg,Sakiya Sandifer,Che Smith,Kanye West,Cydel Young",New Slaves,Kanye West,https://en.wikipedia.org/wiki/New_Slaves,0
2014,"William Coleman,Aubrey Graham,Noah Shebib",Started from the Bottom,Drake,https://en.wikipedia.org/wiki/Started_from_the_Bottom,0
2015,"Kendrick Duckworth,Columbus Smith,Ronald Isley",i,Kendrick Lamar,https://en.wikipedia.org/wiki/I_(Kendrick_Lamar_song),"1	"
2015,"Ernest Clark,Jamal Jones,Onika Maraj,Marcos Palacios,Jonathon Solone Myvett",Anaconda,Nicki Minaj,https://en.wikipedia.org/wiki/Anaconda_(Nicki_Minaj_song),0
2015,"Mike Dean,Malik Jones,Che Pope,Elon Rutberg,Sakiya Sandifer,John Stephens,Kanye West,Charlie Wilson,Cydel Young",Bound 2,"Kanye West,Charlie Wilson",https://en.wikipedia.org/wiki/Bound_2,0
2015,"Noel Fisher,Cameron Thomaz",We Dem Boyz,Wiz Khalifa,https://en.wikipedia.org/wiki/We_Dem_Boyz,0
2015,"Adam Feeney,Aubrey Graham,Anderson Hernandez,Paul Jefferies,Matthew Samuels,Noah Shebib",0 to 100 / The Catch Up,Drake,https://en.wikipedia.org/wiki/0_to_100_/_The_Catch_Up,0
2016,"Kendrick Duckworth,Kawan Prather,Mark Spears,Pharrell Williams",Alright,Kendrick Lamar,https://en.wikipedia.org/wiki/Alright_(Kendrick_Lamar_song),"1	"
2016,"Ernest Brown,Tyler Bryant,Sean Combs,Mike Dean,Rennard East,Noah Goldstein,Malik Yusef Jones,Karim Kharbouch,Allan Kyariga,Kendrick Lamar,Paul McCartney,Victor Mensah,Charles Njapa,Che Pope,Patrick Reynolds,Allen Ritter,Kanye West,Mario Winans,Cydel Young",All Day,"Kanye West,Theophilus London,Allan Kingdom,Paul McCartney",https://en.wikipedia.org/wiki/All_Day_(Kanye_West_song),0
2016,"Richard Dorfmeister,Aubrey Graham,Markus Kienzl,M. O'Brien,Matthew Samuels,Phillip Thomas",Energy,Drake,https://en.wikipedia.org/wiki/Energy_(Drake_song),0
2016,"Lonnie Lynn,Che Smith,John Stephens",Glory,"Common,John Legend",https://en.wikipedia.org/wiki/Glory_(Common_and_John_Legend_song),0
2016,"Tony Fadd,Willie J. Maxwell",Trap Queen,Fetty Wap,https://en.wikipedia.org/wiki/Trap_Queen,0
2017,"Aubrey Graham,Paul Jefferies",Hotline Bling,Drake,https://en.wikipedia.org/wiki/Hotline_Bling,"1	"
2017,"Joseph Cartagena,Edward Davadi,Shandel Green,Karim Kharbouch,Andre Christopher Lyon,Reminisce Mackie,Marcello Valenzano",All the Way Up,"Fat Joe,Remy Ma,French Montana,Infared",https://en.wikipedia.org/wiki/All_the_Way_Up,0
2017,"Chancellor Bennett,Ross Birchard,Ernest Brown,Andrew Dawson,Kasseem Dean,Mike Dean,Noah Goldstein,Kejuan Muchita,Patrick Reynolds,Kanye West,Cydel Young",Famous,"Kanye West,Rihanna",https://en.wikipedia.org/wiki/Famous_(Kanye_West_song),0
2017,"Chancellor Bennett,Dwayne Carter,Tauheed Epps",No Problem,"Chance the Rapper,Lil Wayne,2 Chainz",https://en.wikipedia.org/wiki/No_Problem_(Chance_the_Rapper_song),0
2017,"Chancellor Bennett,Kasseem Dean,Mike Dean,Kirk Franklin,Noah Goldstein,Samuel Griesemer,Terius Nash,Jerome Potter,Kelly Price,Nico Segal,Derek Watkins,Kanye West,Cydel Young",Ultralight Beam,"Kanye West,Chance The Rapper,Kelly Price,Kirk Franklin,The-Dream",https://en.wikipedia.org/wiki/Ultralight_Beam,0
