rank	school	conf	total_rev	total_exp	total_all	perc_all
1	Texas	Big 12	214830647	207022323	0	0.00
2	Texas A&M	SEC	211960034	146546229	0	0.00
3	Ohio State	Big Ten	185409602	173507435	0	0.00
4	Michigan	Big Ten	185173187	175425392	280647	0.15
5	Alabama	SEC	174307419	158646962	2938948	1.69
6	Georgia	SEC	157852479	119218908	3273422	2.07
7	Oklahoma	Big 12	155238481	132910780	0	0.00
8	Florida	SEC	149165475	131789499	1567806	1.05
9	LSU	SEC	147744233	131717421	0	0.00
10	Auburn	SEC	147511034	132885979	3633521	2.46
11	Tennessee	SEC	145653191	134880229	0	0.00
12	Oregon	Pac-12	145417315	119945650	271222	0.19
13	Florida State	ACC	144514413	143373261	7446443	5.15
14	Penn State	Big Ten	144017055	138724055	0	0.00
15	Wisconsin	Big Ten	143420668	142930591	2843000	1.98
16	South Carolina	SEC	136032845	129317382	0	0.00
17	Kentucky	SEC	130706744	125333866	0	0.00
18	Iowa	Big Ten	130681467	128869211	650000	0.50
19	Arkansas	SEC	129680808	112902474	0	0.00
20	Washington	Pac-12	128745183	123503513	3742614	2.91
21	Michigan State	Big Ten	126021377	117506272	901057	0.72
22	Louisville	ACC	120445303	118383769	5383718	4.47
23	Nebraska	Big Ten	120205090	112571632	0	0.00
24	Mississippi	SEC	117834511	108885512	2784879	2.36
25	Minnesota	Big Ten	116376862	114201678	14817134	12.73
26	Clemson	ACC	112600964	111126235	5472888	4.86
27	West Virginia	Big 12	110565870	89196193	4167480	3.77
28	Indiana	Big Ten	106139192	106131819	2569044	2.42
29	UCLA	Pac-12	104106646	104106646	2708118	2.60
30	Arizona State	Pac-12	101579860	98825395	18866371	18.57
31	Mississippi State	SEC	100062237	86351432	0	0.00
32	Missouri	SEC	97848195	102409131	1015000	1.04
33	Illinois	Big Ten	97447731	100739817	3281700	3.37
34	Rutgers	Big Ten	96883027	99193280	33087478	34.15
35	North Carolina	ACC	96551626	96540823	8785137	9.10
36	Kansas	Big 12	95251461	94709233	1920908	2.02
37	Maryland	Big Ten	94881357	94796897	14473659	15.25
38	Colorado	Pac-12	94226111	90640627	12577570	13.35
39	Virginia	ACC	92865175	100324517	13942471	15.01
40	Oklahoma State	Big 12	91644865	89833094	3673085	4.01
41	Arizona	Pac-12	90976758	91756963	10069281	11.07
42	California	Pac-12	90976576	106959739	0	0.00
43	Texas Tech	Big 12	88804476	86984083	5799878	6.53
44	Virginia Tech	ACC	87427526	90716423	8888537	10.17
45	Kansas State	Big 12	86081528	73970354	450000	0.52
46	Purdue	Big Ten	84841133	85709495	0	0.00
47	North Carolina State	ACC	83741572	86924779	6551791	7.82
48	Utah	Pac-12	83672639	81620307	12421715	14.85
49	Connecticut	AAC	83374223	83121820	42227612	50.65
50	Iowa State	Big 12	82659447	82565176	2133219	2.58
51	Georgia Tech	ACC	81762024	84852123	7651426	9.36
52	Oregon State	Pac-12	78959875	82730626	7126768	9.03
53	Washington State	Pac-12	64294520	71801820	5263059	8.19
54	Cincinnati	AAC	60458195	62804292	26745506	44.24
55	Air Force	Mt. West	59577780	50112617	33339247	55.96
56	Houston	AAC	57174900	55277308	25703451	44.96
57	Central Florida	AAC	56327225	56327225	27661927	49.11
58	San Diego State	Mt. West	52454787	51569852	24322966	46.37
59	South Florida	AAC	49960338	48227500	21503730	43.04
60	Memphis	AAC	48716830	48443158	18257221	37.48
61	East Carolina	AAC	48312311	48387287	19739500	40.86
62	James Madison	CAA	48210400	48210400	39119920	81.14
63	Massachusetts	A-10	48054005	47535791	37249930	77.52
64	Hawaii	Big West	47780885	48984980	20486904	42.88
65	Nevada-Las Vegas	Mt. West	47327478	47476606	21622440	45.69
66	Fresno State	Mt. West	46215249	44119522	20634658	44.65
67	Old Dominion	C-USA	46203813	46181753	28681512	62.08
68	Boise State	Mt. West	45486486	45456789	12615561	27.73
69	Colorado State	Mt. West	44672317	43965622	23265238	52.08
70	New Mexico	Mt. West	44421019	44356217	11694978	26.33
71	Delaware	CAA	40883947	40883947	33063193	80.87
72	Wyoming	Mt. West	40372222	38669544	18452045	45.70
73	Arkansas State	Sun Belt	39459027	39459027	12624293	31.99
74	Western Michigan	MAC	38516531	38271134	24349702	63.22
75	Texas State	Sun Belt	38445832	35915260	27787153	72.28
76	Charlotte	C-USA	37931802	33246728	25709896	67.78
77	Miami (Ohio)	MAC	37766348	36097843	24693963	65.39
78	Nevada	Mt. West	36955558	38982774	12477955	33.76
79	California-Davis	Big West	35954033	34625583	27442876	76.33
80	Buffalo	MAC	35892221	35883884	25628422	71.40
81	Akron	MAC	35331217	33895809	24641163	69.74
82	Appalachian State	Sun Belt	35058621	35065566	21257458	60.63
83	Central Michigan	MAC	34692784	31792125	25077606	72.28
84	Florida Atlantic	C-USA	34509259	34102683	23953161	69.41
85	Utah State	Mt. West	34398296	34213406	18911117	54.98
86	Virginia Commonwealth	A-10	34297744	33595855	20609275	60.09
87	Middle Tennessee	C-USA	34040334	34040334	22376798	65.74
88	Coastal Carolina	Sun Belt	33703994	33704483	28251293	83.82
89	Florida International	C-USA	33389929	33003699	24028758	71.96
90	Toledo	MAC	32925921	32925921	21073807	64.00
91	Stony Brook	Am East	32458520	31339766	26799950	82.57
92	Eastern Michigan	MAC	32311247	32311246	23109498	71.52
93	Ohio	MAC	32234688	32621410	20090007	62.32
94	North Texas	C-USA	32150203	36363381	21398461	66.56
95	Texas-El Paso	C-USA	31781343	32039189	18486004	58.17
96	New Hampshire	Am East	31621272	31243908	21800013	68.94
97	California Polytechnic	Big West	31435074	27908939	21762270	69.23
98	San Jose State	Mt. West	31252553	30676330	21011051	67.23
99	South Alabama	Sun Belt	30693877	27949252	20664956	67.33
100	Western Kentucky	C-USA	30439066	30439067	16853917	55.37
101	Georgia State	Sun Belt	30230203	29859420	22423489	74.18
102	Troy	Sun Belt	29962107	29962107	21711635	72.46
103	George Mason	A-10	29649087	29649087	22269485	75.11
104	Marshall	C-USA	29287471	30342248	14345674	48.98
105	Georgia Southern	Sun Belt	28895052	28761605	16747677	57.96
106	Kent State	MAC	28837710	29504048	18657839	64.70
107	Texas-San Antonio	C-USA	28772631	30104385	17385928	60.43
108	William & Mary	CAA	28401480	27539636	15658354	55.13
109	Louisiana-Lafayette	Sun Belt	28326919	27408419	12800374	45.19
110	Sacramento State	Big Sky	28275369	25866367	22764632	80.51
111	Rhode Island	A-10	28203093	28048377	21282741	75.46
112	North Dakota	Big Sky	28201349	26727343	13107939	46.48
113	Illinois State	Mo. Valley	27852407	25144172	19096462	68.56
114	Wichita State	Mo. Valley	27791259	26182954	7879317	28.35
115	North Dakota State	Summit	27267507	28124505	7880233	28.90
116	Montana	Big Sky	27192240	21206839	7452313	27.41
117	Towson	CAA	26989399	26972945	23576513	87.35
118	Missouri State	Mo. Valley	26374654	26374654	16521641	62.64
119	New Mexico State	WAC	26114479	23507513	16833783	64.46
120	Ball State	MAC	26098565	27410745	19402097	74.34
121	Northern Illinois	MAC	25795597	25661395	16816199	65.19
122	Kennesaw State	Atl Sun	25326240	24193201	19449114	76.79
123	Bowling Green	MAC	25303291	23753571	15882246	62.77
124	Alabama at Birmingham	C-USA	24795218	23803547	15480428	62.43
125	Louisiana Tech	C-USA	24722695	23828481	10687030	43.23
126	Southern Mississippi	C-USA	23984639	25251618	8832604	36.83
127	Idaho	Big Sky	23825002	22817285	13339039	55.99
128	Albany	Am East	23502958	24361609	18174536	77.33
129	Nebraska-Omaha	Summit	22956239	20261523	12063520	52.55
130	Southern Illinois	Mo. Valley	22722740	26785157	14346273	63.14
131	South Dakota State	Summit	22075310	20880295	8012013	36.29
132	Montana State	Big Sky	21927521	20768973	10190334	46.47
133	Vermont	Am East	21889573	22060888	16174319	73.89
134	Maine	Am East	20941860	20961302	14181546	67.72
135	California-Santa Barbara	Big West	20484071	22293939	15689376	76.59
136	College of Charleston	CAA	20450663	19931472	15668254	76.61
137	Long Beach State	Big West	20258440	20214762	13455529	66.42
138	California-Irvine	Big West	19978266	20562643	15351089	76.84
139	Massachusetts-Lowell	Am East	19931925	19656525	16926691	84.92
140	Binghamton	Am East	19753526	19139662	13758566	69.65
141	Northern Iowa	Mo. Valley	19497119	18375024	9284499	47.62
142	California-Riverside	Big West	19362719	19100994	17034255	87.97
143	South Dakota	Summit	19256962	18904718	11958142	62.10
144	East Tennessee State	Southern	18870608	18005312	13550570	71.81
145	Sam Houston State	Southland	18742450	18315142	13511652	72.09
146	California State-Fullerton	Big West	18374475	18374475	15137138	82.38
147	Northern Arizona	Big Sky	18353486	18511105	13878065	75.62
148	Illinois-Chicago	Horizon	18197670	18153694	13557842	74.50
149	California State-Northridge	Big West	17987771	16714774	14714419	81.80
150	Prairie View A&M	SWAC	17851213	17852014	13128636	73.54
151	Tennessee-Chattanooga	Southern	17804067	17804067	12374312	69.50
152	Lamar	Southland	17746157	17663047	14516935	81.80
153	Central Connecticut	Northeast	17616876	17159124	14353603	81.48
154	Citadel	Southern	17610176	17488828	10793876	61.29
155	Northern Colorado	Big Sky	17289706	15905651	11819303	68.36
156	Maryland-Baltimore Cty	Am East	17217652	16837354	13938512	80.95
157	Eastern Kentucky	Ohio Valley	17024583	17024584	13105268	76.98
158	North Carolina Greensboro	Southern	16832309	16697946	13883810	82.48
159	Jacksonville State	Ohio Valley	16761667	16761667	12506361	74.61
160	Stephen F. Austin	Southland	16747580	16866267	13744600	82.07
161	North Carolina Wilmington	CAA	16443174	14877642	10790947	65.63
162	New Jersey Tech	Atl Sun	16323383	15460526	14334140	87.81
163	Oakland	Horizon	16262483	15839499	12639095	77.72
164	Louisiana-Monroe	Sun Belt	16132421	15481778	7213515	44.71
165	Indiana State	Mo. Valley	16098113	15262080	12703992	78.92
166	Florida Gulf Coast	Atl Sun	15954757	15076855	10294846	64.53
167	California State-Bakersfield	WAC	15953381	16134125	10972061	68.78
168	Austin Peay	Ohio Valley	15726585	15122198	10043962	63.87
169	Murray State	Ohio Valley	15629362	16006494	11176904	71.51
170	Youngstown State	Horizon	15410657	15410657	10401241	67.49
171	Tennessee Tech	Ohio Valley	15051335	14253073	11177822	74.26
172	Southeastern Louisiana	Southland	15027967	13460167	9231824	61.43
173	Utah Valley	WAC	15010051	13846291	11558640	77.01
174	Missouri-Kansas City	WAC	14807781	15094616	11457416	77.37
175	Eastern Washington	Big Sky	14797340	15753819	9753372	65.91
176	Texas-Rio Grande Valley	WAC	14638376	13570987	12428726	84.91
177	Wisconsin-Milwaukee	Horizon	14382462	12696879	11014524	76.58
178	Alabama State	SWAC	14374967	14374967	10463940	72.79
179	Northern Kentucky	Horizon	14213168	14634532	12439551	87.52
180	Texas-Arlington	Sun Belt	14054524	14145916	10583191	75.30
181	Weber State	Big Sky	13855419	13776392	9098743	65.67
182	Western Carolina	Southern	13723606	13421220	8683872	63.28
183	Portland State	Big Sky	13684434	13670695	10207232	74.59
184	Norfolk State	MEAC	13656202	13656202	10404021	76.19
185	Northwestern State La	Southland	13607151	12556828	8159894	59.97
186	Central Arkansas	Southland	13562018	12840593	9423866	69.49
187	North Carolina Central	MEAC	13561933	13029240	8307124	61.25
188	Southern	SWAC	13360450	13538874	9788125	73.26
189	VMI	Southern	13359816	13221773	6157119	46.09
190	Winthrop	Big South	13287467	13878823	10498583	79.01
191	Idaho State	Big Sky	13228486	13245509	8870960	67.06
192	Southern Utah	Big Sky	13143866	13080062	8907617	67.77
193	Cleveland State	Horizon	13083041	13083041	11076183	84.66
194	North Carolina A&T	MEAC	13075494	13047786	9387605	71.80
195	Arkansas-Little Rock	Sun Belt	13004365	11893708	8418178	64.73
196	Radford	Big South	12954767	12910385	10863276	83.86
197	Texas A&M-Corpus Christi	Southland	12761032	11910883	10228536	80.15
198	Delaware State	MEAC	12674589	13663806	9624922	75.94
199	Tennessee State	Ohio Valley	12481256	12481256	9834643	78.80
200	Morehead State	Ohio Valley	12147957	12147957	10346029	85.17
201	Southeast Missouri State	Ohio Valley	12072270	12470732	8213912	68.04
202	North Florida	Atl Sun	12051332	11709392	8541251	70.87
203	Western Illinois	Summit	11944035	13027183	8925255	74.73
204	Longwood	Big South	11876406	11709364	9985131	84.08
205	McNeese State	Southland	11654790	11653016	6388738	54.82
206	Eastern Illinois	Ohio Valley	11329430	12087294	8123217	71.70
207	Tennessee-Martin	Ohio Valley	11308729	11308729	8179059	72.33
208	Morgan State	MEAC	11023152	12577055	8934865	81.06
209	Wright State	Horizon	10922076	12756674	8577655	78.54
210	Texas Southern	SWAC	10899527	10899527	8961264	82.22
211	Florida A&M	MEAC	10741985	10741985	4605221	42.87
212	Indiana-Purdue Fort Wayne	Summit	10607866	10379794	8286274	78.11
213	Indiana-Purdue Indianapolis	Summit	10143238	9663859	8473586	83.54
214	Southern Illinois Edwardsville	Ohio Valley	9524882	9039224	6911526	72.56
215	Jackson State	SWAC	9466619	10236424	4731558	49.98
216	Wisconsin-Green Bay	Horizon	9390830	8982031	4948008	52.69
217	Nicholls State	Southland	8463641	8326628	5243798	61.96
218	North Carolina Asheville	Big South	8395210	8343404	6008119	71.57
219	Arkansas-Pine Bluff	SWAC	7904735	7770869	5665044	71.67
220	Grambling State	SWAC	7853609	10019059	3887444	49.50
221	South Carolina Upstate	Atl Sun	7591880	7575272	6382175	84.07
222	South Carolina State	MEAC	7232850	8195579	3441735	47.58
223	Alcorn State	SWAC	6321380	6280710	3864109	61.13
224	Maryland-Eastern Shore	MEAC	5916647	5916647	4456455	75.32
225	New Orleans	Southland	5819807	5819807	3972948	68.27
226	Chicago State	WAC	5249433	5057856	4248483	80.93
227	Savannah State	MEAC	4508343	6150265	2852372	63.27
228	Mississippi Valley State	SWAC	4332784	4335851	2146526	49.54
229	Coppin State	MEAC	3452610	4360469	2472427	71.61
230	Alabama A&M	SWAC	3293950	9466448	342723	10.40