grad_names	sal_names	stadium_names	University of Alabama at Birmingham	Alabama at Birmingham	UAB
University of Alabama	Alabama	Alabama
Auburn University	Auburn	Auburn
University of South Alabama	South Alabama	South Alabama
Troy University	Troy	Troy
Arizona State University	Arizona State	Arizona State
University of Arizona	Arizona	Arizona
University of Arkansas, Fayetteville	Arkansas	Arkansas
Arkansas State University	Arkansas State	Arkansas State
California State University, Fresno	Fresno State	Fresno State
University of California, Berkeley	California	California
University of California, Los Angeles	UCLA	UCLA
San Diego State University	San Diego State	San Diego State
San Jose State University	San Jose State	San Jose State
University of Southern California	Southern California	Southern California
University of Colorado, Boulder	Colorado	Colorado
Colorado State University	Colorado State	Colorado State
U.S. Air Force Academy	Air Force	Air Force
University of Connecticut	Connecticut	Connecticut
University of Central Florida	Central Florida	UCF
Florida Atlantic University	Florida Atlantic	Florida Atlantic
Florida International University	Florida International	FIU
Florida State University	Florida State	Florida State
University of Florida	Florida	Florida
University of Miami (Florida)	Miami (Fla.)	Miami
University of South Florida	South Florida	USF
Georgia Institute of Technology	Georgia Tech	Georgia Tech
Georgia Southern University	Georgia Southern	Georgia Southern
Georgia State University	Georgia State	Georgia State
University of Georgia	Georgia	Georgia
University of Hawaii, Manoa	Hawaii	Hawaii
Boise State University	Boise State	Boise State
University of Illinois Urbana-Champaign	Illinois	Illinois
Northern Illinois University	Northern Illinois	NIU
Northwestern University	Northwestern	Northwestern
Ball State University	Ball State	Ball State
Indiana University, Bloomington	Indiana	Indiana
University of Notre Dame	Notre Dame	Notre Dame
Iowa State University	Iowa State	Iowa State
University of Iowa	Iowa	Iowa
University of Kansas	Kansas	Kansas
Kansas State University	Kansas State	Kansas State
University of Kentucky	Kentucky	Kentucky
University of Louisville	Louisville	Louisville
Western Kentucky University	Western Kentucky	Western Kentucky
Louisiana State University	LSU	LSU
Louisiana Tech University	Louisiana Tech	Louisiana Tech
University of Louisiana at Monroe	Louisiana-Monroe	Louisiana-Monroe
University of Louisiana at Lafayette	Louisiana-Lafayette	Louisiana
Tulane University	Tulane	Tulane
University of Maryland, College Park	Maryland	Maryland
U.S. Naval Academy	Navy	Navy
Boston College	Boston College	Boston College
University of Massachusetts, Amherst	Massachusetts	UMass
Central Michigan University	Central Michigan	Central Michigan
Eastern Michigan University	Eastern Michigan	Eastern Michigan
University of Michigan	Michigan	Michigan
Michigan State University	Michigan State	Michigan State
Western Michigan University	Western Michigan	Western Michigan
University of Minnesota, Twin Cities	Minnesota	Minnesota
University of Mississippi	Mississippi	Mississippi
Mississippi State University	Mississippi State	Mississippi State
The University of Southern Mississippi	Southern Mississippi	Southern Miss
University of Missouri, Columbia	Missouri	Missouri
University of Nebraska, Lincoln	Nebraska	Nebraska
University of Nevada, Las Vegas	Nevada-Las Vegas	UNLV
University of Nevada, Reno	Nevada	Nevada
Rutgers, The State University of New Jersey, New Brunswick	Rutgers	Rutgers
University of New Mexico	New Mexico	New Mexico
New Mexico State University	New Mexico State	New Mexico State
University at Buffalo, the State University of New York	Buffalo	Buffalo
Syracuse University	Syracuse	Syracuse
U.S. Military Academy	Army	Army
Appalachian State University	Appalachian State	Appalachian State
Duke University	Duke	Duke
East Carolina University	East Carolina	East Carolina
University of North Carolina, Chapel Hill	North Carolina	North Carolina
The University of North Carolina at Charlotte	Charlotte	Charlotte
North Carolina State University	North Carolina State	NC State
Wake Forest University	Wake Forest	Wake Forest
University of Akron	Akron	Akron
Bowling Green State University	Bowling Green	Bowling Green
University of Cincinnati	Cincinnati	Cincinnati
Kent State University	Kent State	Kent State
Miami University (Ohio)	Miami (Ohio)	Miami (OH)
The Ohio State University	Ohio State	Ohio State
Ohio University	Ohio	Ohio
University of Toledo	Toledo	Toledo
Oklahoma State University	Oklahoma State	Oklahoma State
University of Oklahoma	Oklahoma	Oklahoma
The University of Tulsa	Tulsa	Tulsa
Oregon State University	Oregon State	Oregon State
University of Oregon	Oregon	Oregon
Pennsylvania State University	Penn State	Penn State
University of Pittsburgh	Pittsburgh	Pittsburgh
Clemson University	Clemson	Clemson
University of South Carolina, Columbia	South Carolina	South Carolina
University of Memphis	Memphis	Memphis
Middle Tennessee State University	Middle Tennessee	Middle Tennessee
University of Tennessee, Knoxville	Tennessee	Tennessee
Vanderbilt University	Vanderbilt	Vanderbilt
Baylor University	Baylor	Baylor
University of Houston	Houston	Houston
University of North Texas	North Texas	North Texas
Rice University	Rice	Rice
Southern Methodist University	Southern Methodist	SMU
Texas State University	Texas State	Texas State
Texas A&M University, College Station	Texas A&M	Texas A&M
University of Texas at Austin	Texas	Texas
University of Texas at El Paso	Texas-El Paso	UTEP
Texas Christian University	Texas Christian	TCU
University of Texas at San Antonio	Texas-San Antonio	UTSA
Texas Tech University	Texas Tech	Texas Tech
Brigham Young University	Brigham Young	BYU
Utah State University	Utah State	Utah State
University of Utah	Utah	Utah
Old Dominion University	Old Dominion	Old Dominion
Virginia Polytechnic Institute and State University	Virginia Tech	Virginia Tech
University of Virginia	Virginia	Virginia
Washington State University	Washington State	Washington State
University of Washington	Washington	Washington
Marshall University	Marshall	Marshall
West Virginia University	West Virginia	West Virginia
University of Wisconsin-Madison	Wisconsin	Wisconsin
University of Wyoming	Wyoming	Wyoming
Stanford University	Stanford	Stanford
Purdue University	Purdue	Purdue
Coastal Carolina University	Coastal Carolina	Coastal Carolina